feature_set,removed_feature_group,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
Without funding scale,funding scale,0.17707476615905762,0.028080850773521595,0.025441694259643554,0.004735330851967193,0.7,0.01,5,5,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7447774750227066,0.7432675044883303,0.7549909255898367,0.748653500897666,0.7398005439709883,0.7462979899939055,0.005192844574808814,7,0.7545207956600362,0.7610419026047565,0.7510185604345858,0.7561693457097578,0.7545207956600362,0.7554542800138344,0.003260406092233618
Without funding scale,funding scale,0.21536617279052733,0.019802525335366975,0.020075559616088867,0.006066021621692283,0.7,0.01,5,5,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7416974169741697,0.7403414195867026,0.7568058076225045,0.7508960573476703,0.7396021699819169,0.7458685743025928,0.006813434879482727,8,0.751545683535608,0.7619047619047619,0.750510783200908,0.7569522948225187,0.7566101694915254,0.7555047385910645,0.004120470902840931
Without funding scale,funding scale,0.49159741401672363,0.024438219198199232,0.0354762077331543,0.007370167686347909,0.7,0.01,5,5,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7448015122873346,0.7225929456625357,0.7389635316698656,0.7371428571428571,0.7354596622889306,0.7357921018103047,0.007312731685419726,72,0.7553567223922769,0.7585714285714286,0.7521489971346705,0.7524940617577197,0.757203589985829,0.755154959968385,0.002530851342329073
Without funding scale,funding scale,0.6844778060913086,0.13885477283933528,0.037847900390625,0.010845298114888133,0.7,0.01,5,5,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7396226415094339,0.7203791469194313,0.7408829174664108,0.7376425855513308,0.7357609710550888,0.7348576525003391,0.007445910267178953,101,0.7549481621112158,0.7639219419324131,0.754302103250478,0.7533952823445318,0.7614807872539832,0.7576096553785244,0.004257111957581447
Without funding scale,funding scale,0.994301700592041,0.06394059054032589,0.041598272323608396,0.011579453192360199,0.7,0.01,5,5,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7423664122137404,0.7274453941120608,0.7348119575699132,0.7276227141482194,0.7334593572778828,0.7331411670643633,0.005493506823576352,150,0.7585058291696407,0.7645654250238777,0.7565741857659831,0.757081132981277,0.763445978105664,0.7600345102092885,0.0033226630972735243
Without funding scale,funding scale,0.7733108043670655,0.06000803851206694,0.037507057189941406,0.003795134842953146,0.7,0.01,5,5,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7374407582938388,0.7180952380952381,0.7405978784956606,0.7433962264150943,0.7334593572778828,0.7345978917155429,0.008889614866870281,109,0.7564619397676073,0.7683130517776187,0.7585042219541617,0.7580452920143027,0.7626238791882963,0.7607896769403973,0.004276674618929197
Without funding scale,funding scale,0.3830629825592041,0.035301267745341036,0.026206398010253908,0.007973700144522382,0.7,0.01,7,1,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7448151487826871,0.7433155080213903,0.7527272727272727,0.7531305903398927,0.7404021937842779,0.7468781427311041,0.005141821616522458,4,0.7711655064001797,0.7756030951297224,0.7720488466757124,0.7676357899481632,0.7693710118505014,0.7711648500008559,0.0026889250841592147
Without funding scale,funding scale,0.40649046897888186,0.02955601886250513,0.03123054504394531,0.008165121485195829,0.7,0.01,7,1,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7416974169741697,0.7457322551662174,0.7463235294117647,0.7504488330341114,0.7443541102077688,0.7457112289588064,0.00285561566996921,10,0.7694074414331649,0.7826879271070615,0.7701202590194265,0.7716749886518384,0.7762412151439583,0.77402636627109,0.004940633742205513
Without funding scale,funding scale,0.935343599319458,0.0789225174829321,0.04270257949829102,0.0048757891943291805,0.7,0.01,7,1,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7490566037735849,0.7238454288407163,0.7377521613832853,0.7455399061032864,0.7284768211920529,0.736934184258585,0.009638704252859707,51,0.7765323157643692,0.7840307840307841,0.7743961352657005,0.7809887747790781,0.7797094546320552,0.7791314928943974,0.003375379179688001
Without funding scale,funding scale,1.0323927402496338,0.06341059255638379,0.044278526306152345,0.008775204433448019,0.7,0.01,7,1,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7371428571428571,0.7243650047036688,0.7304347826086957,0.739906103286385,0.7334593572778828,0.7330616210038979,0.00540727353309943,154,0.7831498324557205,0.7857315015666425,0.7802864773003156,0.7823996152921375,0.7864954826438422,0.7836125818517317,0.0022605014532418245
